rw        r         Tu        Hl        Tl        Hu        L         Kw        y         
0.196745  247.278   89142.3   808.627   96.1355   927.504   1120.08   12599.2   160.022   
0.182822  416.083   91343.3   817.362   92.5486   982.591   1120.02   11326.4   173.008   
0.186299  71.8376   75810.8   730.63    78.7598   873.731   1120.24   12447.3   170.877   
0.181528  611.779   86573.6   809.495   94.8393   948.592   1120.23   10197.4   129.416   
0.192747  283.091   87178.2   769.199   97.8047   968.952   1120.07   11760     241.27    
0.196608  14.0776   67695.6   736.552   90.8944   851.209   1120.2    9797.2    120.815   
0.195745  75.2567   89434.1   795.622   86.4056   905.568   1120.12   11671.9   136.035   
0.171737  5.43089   79086.1   718.622   72.6667   914.25    1120.13   10929.1   175.655   
0.196866  552.359   73482.1   790.863   68.2036   988.706   1120.26   11567.7   243.07    
0.196921  51.7983   100671    710.747   94.1272   838.063   1121.63   12643.5   172.601   
0.195817  160.881   90516.4   720.583   85.0233   861.233   1120.94   12790.6   190.045   
0.194018  5045.87   86511.7   784.822   73.6112   930.506   1120.17   9638.32   144.994   
0.190366  228.467   70152.5   812.676   73.3538   961.232   1120.54   12879.3   190.552   
0.18748   15871.7   88455     715.682   88.0304   828.98    1120.44   10352.7   113.226   
0.196602  149.529   79991.1   700.142   93.4306   870.947   1120.24   11732.7   214.147   
0.184058  11.7652   94764.5   765.517   75.4923   868.923   1120.41   9842.15   95.8898   
0.184599  38.0018   108542    727.811   102.622   872.577   1120.01   11836.5   162.268   
0.199473  190.291   70610.1   791.968   84.126    903.383   1120.24   11583.5   141.632   
0.178442  1177.92   92563.5   781.601   103.26    974.314   1120.36   12030.8   204.036   
0.193816  423.873   89010.9   772.427   79.269    902.132   1121.01   10190     136.871   
0.18875   19.7808   74402     805.731   78.5125   990.113   1120.01   12745.9   232.059   
0.192039  669.563   82244.2   772.257   84.8517   955.855   1120.7    11806.6   219.984   
0.195092  3258.24   96219.3   774.127   82.5454   930.689   1120.33   12646.4   206.099   
0.195355  312.455   78120.6   802.423   96.5295   970.731   1120.51   10790.6   191.633   
0.196321  21.5194   94422.1   730.022   87.0513   871.669   1120.52   12819.4   193.908   
0.197828  486.542   89123     707.128   95.7807   818.982   1120.8    10914.3   131.868   
0.195769  240.689   90244.5   728.123   89.4451   886.394   1120.15   10724.2   179.816   
0.195738  1481.2    92416.1   719.222   86.5175   843.436   1120.05   11475.6   150.137   
0.194772  4009.99   90927.1   724.004   90.3586   901.253   1120.05   9569.18   177.316   
0.199899  11.4014   83775.7   813.202   82.42     913.331   1120.31   12053.3   133.825   
0.198499  11686.4   89467.5   730.862   94.0599   928.101   1120.8    12929.3   274.358   
0.189754  1816.63   83677.8   707.001   83.1182   874.512   1120      11406.9   189.157   
0.184959  127.405   95034.8   712.689   94.7801   884.74    1120.58   9542.58   155.896   
0.187047  16560.2   96665.5   710.556   96.192    874.816   1120.13   9955.22   157.556   
0.190196  32.5439   84871.4   779.38    99.7407   919.284   1120.78   11441.2   160.773   
0.188071  58.7154   85890.9   753.213   90.5574   921.481   1120.87   11712.8   193.123   
0.192029  296.646   99682.2   793.995   102.257   898.246   1120.4    10958.2   116.61    
0.189824  198.147   86181.3   816.11    83.2412   1009.93   1120      9696.8    187.517   
0.195953  1310.82   93916.7   721.976   85.0481   909.73    1120.67   12828.2   253.483   
0.199792  9.57381   85359.9   730.935   96.2071   892.693   1120.2    10366.5   186.333   
0.186462  35.9518   80998.5   762.953   100.123   946.517   1120.17   10326.6   183.292   
0.199123  69.5882   99138.8   709.055   100.556   899.869   1120.13   12775.4   267.559   
0.19558   1186.36   103838    717.272   91.4235   896.77    1120.54   11770.7   222.325   
0.179336  216.253   97849.9   813.451   106.658   953.347   1120.44   12738.7   158.771   
0.196884  20.1468   81384.3   782.605   86.1021   932.187   1120.61   10582     170.337   
0.19562   954.366   86284.1   705.625   84.6519   899.722   1120.47   11458.8   234.036   
0.195674  118.722   76266.3   817.744   80.3054   967.15    1120.42   10237     161.938   
0.195906  47.4283   96144.4   727.358   79.7706   837.257   1120.41   12195.7   142.19    
0.193173  80.5516   92018.2   769.96    87.0751   906.13    1120.31   11452.9   161.063   
0.199793  4.53472   87420.8   778.877   96.2262   936.107   1120.23   11710.2   204.724   
