sigma_e   rw        r         Tu        Tl        L         Kw        
1.87455   0.15794   95.4066   94603.9   91.0367   1276.97   12963.5   
2.09258   0.170751  51.6561   107885    74.9842   1420.67   9710.1    
2.0979    0.139907  3094.71   113903    70.1009   1287.5    10606.5   
1.96906   0.177486  10759     85009.1   101.155   1171.16   11474.5   
1.83501   0.149932  20.3001   74235.8   106.904   1446.56   11377     
2.0285    0.165529  272.304   92900.5   74.2787   1326.21   11016.6   
2.01685   0.157457  260.803   99468.5   69.7362   1298.12   10268.9   
2.098     0.169843  2614.48   68727.8   102.234   1645.96   10285.7   
1.92778   0.160715  924.829   91357.7   97.4447   1422.18   9995.08   
1.91172   0.150311  167.807   72253     62.7062   1575.34   10054.7   
2.43635   0.135487  7120.91   115587    93.1592   1676.38   12798.8   
2.21321   0.164786  0.698115  88869.1   67.9237   1376.96   10858     
1.93905   0.139058  331.492   82267.5   109.582   1123.89   12845.7   
1.89989   0.144446  35.4494   94002.4   64.5698   1501.94   11953.7   
1.96491   0.152488  1325.81   87491.3   109.513   1321.04   10643.2   
1.94276   0.147719  0.797158  102169    78.8786   1225.11   12867     
1.78734   0.153858  695.358   103111    98.5482   1160.38   10268     
2.12274   0.147694  37.465    70281.3   96.8269   1183.64   12546.1   
1.90248   0.167589  204.189   114964    94.3306   1291.46   9540.77   
2.03046   0.154966  50242.2   83640.7   66.3915   1331.83   10201     
1.86541   0.176679  14861.6   109998    98.2429   1131.6    9686.37   
2.14795   0.16189   51119.6   64305.5   103.382   1531.05   12040.6   
2.01981   0.163764  47.7035   84666.6   68.8829   1480.9    10172.8   
2.18397   0.154746  8.18494   87138.1   76.8645   1162.87   10329.5   
2.00246   0.154472  455.735   69959.6   73.1179   1378.97   10538.5   
1.9281    0.133038  2.8211    62501.6   64.0828   1326.55   9713.3    
1.85072   0.158982  257.25    105813    82.6376   1312.42   12362.2   
2.05118   0.16649   69.2654   99323.2   69.8967   1338.98   11000.7   
1.93811   0.146187  8.02701   85653.7   88.4481   1462.57   10995.2   
2.29497   0.166058  33575.4   79354.6   99.6198   1369.22   11938.1   
2.06188   0.137322  164.647   114980    109.968   1641.19   12527.7   
2.26297   0.162365  3121.16   77331.8   62.5702   1655.03   10273.7   
2.07492   0.136847  624.06    86493.2   84.7501   1654.49   10232.6   
1.86683   0.170177  3.28275   70913.4   77.1079   1165.93   11271.3   
1.81525   0.143258  307.561   78040.2   88.4584   1352.8    12482.9   
1.88415   0.152078  2.41157   94074     67.0502   1303.66   10449.2   
2.31888   0.153062  26110.2   106057    74.2495   1277.38   9631.82   
2.01115   0.156475  13.4342   68395.1   70.6301   1328.93   11237.7   
1.99729   0.169083  1346.96   83515.6   112.485   1200.34   11846.3   
1.83053   0.158828  38.4398   108009    98.795    1152.3    9509.68   
1.9984    0.140399  3373.55   102114    80.0573   1463.65   12094.1   
2.01906   0.1447    426.791   96738.2   96.5381   1214.23   11716.5   
1.99831   0.169879  28.9449   99663.2   103.351   1459.89   12442     
1.96923   0.146221  3.44155   112988    65.4167   1366.73   12402.5   
1.86823   0.165781  26336.1   91276.7   73.0305   1184.01   9696.19   
2.0857    0.158088  27.2187   91530.1   78.5918   1558.33   10032.2   
1.89006   0.159891  1.39791   72261.8   90.6394   1388.36   12889.4   
1.8935    0.136795  154.974   83109     112.733   1306.35   10084.1   
1.78254   0.136872  14779.1   81675.8   114.632   1178.64   9789.09   
2.11597   0.160252  2843.83   66258.8   78.8565   1526.09   10614.3   
1.99142   0.156797  12778.9   80391.9   82.6527   1582.13   12710.9   
1.91022   0.145461  248.349   103768    103.558   1127.79   11796.5   
1.84115   0.143231  105.322   81195.8   70.0595   1321.42   12015.8   
2.15308   0.17314   9.94908   104749    75.6072   1375.11   12244.4   
2.13213   0.164801  102.523   101098    97.1499   1437.38   10318.6   
1.97941   0.137847  11442.5   69686     95.7359   1174.76   9563.37   
2.15602   0.177479  299.72    91881.5   84.7079   1506.01   11001.6   
1.98806   0.150845  1145.84   72377.1   62.5995   1158.42   12671.5   
1.77351   0.147577  1.39531   63412.2   65.341    1392.37   9690.74   
2.00389   0.167468  362.048   86590.5   70.1702   1280.37   11816.5   
1.8516    0.137262  4.75462   86934.4   75.2077   1630.27   12492.2   
2.00341   0.145333  99.1923   92191     82.455    1246.41   12474.7   
1.96592   0.137512  14631.3   69218.1   95.0141   1516.43   10313.4   
1.96314   0.152185  5.28833   102151    88.3722   1320.47   12970.1   
1.95843   0.150493  6105.11   66710.2   80.4015   1638.9    10113.2   
2.01805   0.156968  7486.88   72650.6   97.0931   1452.66   11411.8   
1.95149   0.157402  1859.46   91047.2   79.4162   1623.77   9583.51   
2.59078   0.166482  950.825   108530    113.162   1657.58   10275.9   
2.03008   0.17336   4104.03   101201    83.3717   1510.26   11804.2   
2.01291   0.16065   263.801   102642    73.9333   1345.44   11143     
2.02198   0.151798  2340.64   69223.9   112.75    1482.78   11833.7   
1.86255   0.152648  36986.5   113236    81.3105   1524.96   12132     
2.13812   0.162394  18171.2   75497.2   68.1162   1426.53   11591.5   
2.14679   0.16871   23095.5   106721    83.0979   1191.27   12725.3   
2.00309   0.144496  16.1197   78279     77.1956   1157.96   9572.97   
2.34853   0.152742  64.1237   88812.2   102.567   1300.37   10760.3   
2.3585    0.153065  1326.18   112255    111.767   1465.61   12597.5   
2.07927   0.160827  30825.5   80515.1   78.5702   1340.36   12436.9   
2.05731   0.172633  2404.42   113644    63.5749   1465.8    10259.5   
2.13257   0.155195  28219     105612    62.4652   1469.14   10630.5   
2.01275   0.173002  512.948   105567    115.44    1267.26   12213.1   
2.23084   0.168958  5884.41   108912    85.9057   1586.89   11419.1   
1.91354   0.157653  13296.3   69827.5   109.869   1423.15   10400.1   
1.95681   0.149336  8.0727    92882.5   110.184   1581.63   11442.5   
2.0655    0.144376  2.74775   89843     85.0507   1327.33   11446.3   
2.08711   0.143108  812.771   84942.2   87.1069   1296.04   12009.1   
2.08167   0.150082  24740.1   69048.6   83.8587   1658.09   10382.9   
2.08058   0.150788  8.889     84490.8   93.5924   1159.06   9824.51   
1.92728   0.153069  4922.66   76405.9   94.3071   1300.33   11104.5   
2.24195   0.147746  81.9138   82044.2   81.9057   1582.69   12410.5   
2.1003    0.165491  9.5148    83640.1   84.9841   1375.08   12681.9   
1.93245   0.170123  8308.27   83514     107.515   1658.02   10128.3   
2.03303   0.170892  29.1908   81055.5   82.7994   1529.38   9759.66   
2.14561   0.153089  722.71    106940    95.1143   1324.77   12298.7   
1.9349    0.142551  496.558   108435    102.315   1619.74   10056.7   
1.9643    0.140324  2.34506   114687    65.5602   1450.95   12434.1   
1.96557   0.142391  120.98    114355    64.5385   1544.25   12100.2   
2.08251   0.149946  517.746   109256    65.6281   1635.94   11636.9   
2.01895   0.13548   3772.63   81273.9   98.8792   1576.6    10566.6   
2.05625   0.163712  17054.8   90681.6   66.4795   1540.13   10141     
2.09682   0.174077  10938.1   86681.9   113.703   1137.58   10145.6   
2.05317   0.176502  45185.8   79156.1   88.3077   1476.98   9735.2    
2.16424   0.151486  7939.99   86915.7   106.772   1283.39   11145.6   
1.87593   0.14997   45.1679   66477.7   86.504    1458.92   11603.8   
2.18231   0.155325  476.207   107666    96.1434   1199.94   10845.2   
1.89577   0.138427  3.8879    91989     110.769   1486.34   12418.1   
2.08904   0.177235  53933.7   84548.7   76.7525   1200.86   10483.9   
2.29479   0.143324  2.12323   81181.6   101.077   1556.34   11557.1   
2.08648   0.166134  0.583884  88402.4   78.532    1679.85   11253.9   
1.98751   0.155325  1074.81   104228    63.9549   1422.5    11605     
2.0631    0.166088  197.557   103051    112.972   1636.55   9847.05   
2.07999   0.141585  47.597    106544    86.0067   1661.86   10280.3   
2.22175   0.177779  164.204   101423    92.4991   1591.2    12191.4   
2.01189   0.160963  519.791   91928.2   79.803    1182.61   11317.3   
2.1944    0.159411  295.879   69374.1   78.5197   1129.54   9535.95   
2.05151   0.150128  8591.79   80132.6   76.5304   1255.35   12878.2   
2.02517   0.144813  11544     66236.6   87.8309   1280.37   12592.8   
2.1479    0.171084  11782.2   102320    67.8419   1487.42   9933.41   
2.03445   0.155172  289.433   70239.5   97.1358   1137.4    9644.52   
1.92367   0.138182  1605.57   107163    114.325   1181.24   10368.8   
2.00519   0.150465  566.288   82671     81.1166   1490.31   11814.2   
2.1236    0.152852  2816.2    99010.6   90.7134   1264.15   10710.9   
2.14734   0.162154  15595.1   81520.6   87.5905   1288.09   9908.45   
2.04708   0.164999  211.714   77603.1   83.235    1195.52   12307.9   
1.83912   0.15409   348.371   77579.2   64.8848   1515.9    10473.9   
1.95842   0.139252  60.3509   99093.3   83.4999   1274.63   11183.7   
1.91053   0.167916  2426.97   109830    80.9104   1430.21   12497.3   
2.08633   0.161451  2582.85   68120.6   82.8131   1501.87   11222.6   
2.12354   0.166682  15.744    74101.2   75.5454   1407      11612.6   
2.079     0.162415  2.44991   103392    94.1205   1336.68   12433.2   
1.82131   0.16691   904.901   104676    109.638   1189.97   12613.5   
2.44218   0.137547  264.25    88464.3   78.4194   1525      12046.7   
2.08375   0.156927  0.384247  80474.2   80.4879   1285.06   9697.05   
2.16248   0.156338  1.18138   108146    67.2908   1453.45   12140.5   
2.01344   0.16112   5467.59   113973    83.3241   1615.14   12431.9   
2.04798   0.142399  75.0345   69555.3   98.7331   1515.5    10154.2   
2.04046   0.153884  4.88501   113827    91.6827   1154.28   12148.6   
1.89532   0.159158  12.2818   87895.8   74.6693   1393.61   10570.1   
1.9273    0.158154  174.309   90178.2   63.0824   1662.16   10939.6   
2.25158   0.152169  21414.9   91914.9   95.3565   1122.65   10648     
2.28666   0.149292  155.661   84997.1   104.317   1474.17   10316.4   
1.96433   0.157399  5.1931    86563.4   98.1547   1317.85   10143.2   
2.18084   0.140941  1879.24   80645.5   91.0814   1345.89   11858     
1.97908   0.136578  51284.3   87435.3   87.6615   1245.46   10316.6   
2.1079    0.150482  266.466   66070.9   72.1494   1587.02   10076.8   
