rw        r         Tu        Hl        Tl        Hu        L         Kw        y         
0.145883  55.5293   92825.9   762.189   91.3171   866.901   1171.66   11720.5   69.5499   
0.104659  695.097   112545    752.33    95.5134   858.894   1223.73   9584.48   28.6074   
0.19958   350.685   90845.2   738.78    94.9485   853.339   1205.09   11006.6   129.081   
0.193957  7.10306   98257     747.331   87.9263   857.009   1209.27   12880.3   136.942   
0.100306  1804.91   89455.2   728.899   96.3466   834.924   1353.54   11554     28.4825   
0.119312  4148.55   94485.9   759.261   91.6079   954.056   1232.44   9747.96   68.464    
0.122754  43.1685   83536.1   762.927   90.4283   923.057   1213.21   9866.93   61.4063   
0.125588  226.07    106440    801.377   83.6082   943.827   1227.34   11751.2   67.1264   
0.123385  5.28449   85853.8   788.478   87.3531   923.202   1200.53   11097.9   59.3853   
0.18435   42.4171   90172     787.6     90.2342   984.252   1238.58   10327.7   173.588   
0.14129   443.74    104443    739.147   92.5322   872.456   1467.55   10172.2   57.6028   
0.175916  4.18333   90930.3   713.986   94.9583   880.312   1501.31   10264.9   110.174   
0.170275  1029.73   94295.9   709.9     106.606   848.574   1595.12   11229.3   88.1858   
0.192052  24.0353   89555     784.652   97.9796   959.509   1291.6    11559.8   179.873   
0.184142  5.5672    73780.6   745.016   84.8384   923.566   1133.45   11736.2   195.562   
0.180705  275.245   100023    777.486   89.0359   939.897   1626.89   11030.5   111.945   
0.138348  760.206   81842.9   723.993   85.1716   828.848   1146.82   11761.8   64.0281   
0.10967   1669.18   91408.7   718.034   75.6869   864.885   1664.27   10950.8   36.3282   
0.150299  2345.94   84511.1   708.125   85.2447   821.579   1231.05   12090.3   78.093    
0.156434  209.532   89673.9   733.965   89.1659   844.774   1158.65   12459.7   90.6469   
0.17483   323.259   95955.4   809.601   79.4395   982.497   1142.27   12288.3   175.863   
0.12172   388.221   86983.6   700.647   79.6782   875.347   1325.4    9610.33   58.6412   
0.168156  16.0408   95395     774.344   102.749   944.284   1406.47   10404.9   111.164   
0.114426  52.8233   95451.2   754.724   93.258    902.528   1670.75   12569.8   45.5927   
0.177951  1811.19   92459     766.282   94.7375   875.864   1527.85   12240.7   86.2727   
0.102809  41.4938   94896.9   708.212   86.8283   890.539   1611.26   11104.2   41.619    
0.152054  754.461   85048.2   790.226   84.35     895.326   1656.21   12662.8   57.8504   
0.157859  36.9643   70660.3   787.84    76.0674   916.799   1266.18   12521.4   98.9625   
0.123724  37.2718   92374.6   802.519   100.561   935.986   1230.07   9582.48   49.832    
0.142408  250.676   95398.6   765.277   83.1957   914.916   1328.69   12142.7   86.4069   
0.144846  72.5372   74541.1   757.949   92.6503   917.743   1622.72   11586.7   74.8282   
0.173755  38.5601   107918    805.108   110.964   988.6     1271.08   10610.9   144.397   
0.101032  130.725   82538.4   707.84    76.7097   889.154   1230.55   12661.1   59.5314   
0.111482  8143.69   88522.3   774.393   98.0782   881.061   1626.68   9969.98   25.4156   
0.141977  4794.45   81711.8   807.648   87.978    972.593   1434.37   12501.6   90.1009   
0.176075  487.827   103357    727.786   101.703   839.124   1492.9    10247.8   73.8238   
0.10139   90.1929   87952.8   760.922   87.2414   909.047   1461.46   11337.9   36.9967   
0.158435  1541.98   79762.3   751.604   76.5      923.684   1261.88   10385.5   110.315   
0.10374   84.3183   85661.7   734.14    83.0656   837.327   1655.13   11314.9   23.7792   
0.161967  102.027   92481.5   748.166   82.1877   925.191   1367.75   11888.3   125.684   
0.166586  89.5125   89833.9   798.894   87.8389   936.863   1667.65   11992.4   85.8852   
0.192362  185.803   69239.1   790.241   99.6113   907.184   1609.59   12244.2   102.418   
0.142407  27.9846   93956.9   711.92    86.9977   900.75    1136.89   9921.07   104.423   
0.171705  1123.86   99364.4   711.428   103.416   863.324   1428.04   11722.5   114.313   
0.117637  137.506   93889.6   807.291   96.8299   1004.18   1423.95   12753     76.3136   
0.134842  64.8283   75435.2   771.511   102.92    892.46    1465.92   10262.3   48.1813   
0.167579  31.2716   77794.8   701.769   78.2359   825.19    1128.03   11215.2   107.257   
0.166721  309.162   88647.2   802.739   90.9777   982.558   1473.52   10734.1   113.436   
0.121567  111.103   92445.3   703.854   86.6401   881.193   1139.77   12537.2   89.9915   
0.19365   542.246   97458.3   786.635   93.7813   905.176   1267.39   10769.1   117.085   
0.120945  760.186   89717.7   745.407   92.0984   939.558   1629.8    10154.2   55.3477   
0.147701  69.1558   92876.4   816.566   85.594    1008.75   1248.6    10192.3   106.836   
0.125719  106.746   88683.7   816.202   91.2338   1006.43   1626.83   10367.2   59.9689   
0.155213  47.2685   107922    713.768   106.031   905.68    1228.16   11904.3   139.902   
0.19109   232.187   86823.7   799.335   83.8493   904.927   1535.36   10273.7   80.223    
0.196667  1897.94   88019.5   713.648   89.551    832.01    1446.82   9513.6    93.3525   
0.135679  338.773   67828.5   814.266   74.0968   991.345   1403.51   10452.5   75.7203   
0.144436  77.5241   81767.8   707.403   84.4997   857.58    1228.27   10661.4   84.861    
